Subj ROI1 ROI2 Y
SBJ14 L_Bank_STS R_Amygdala -0.101670409284
SBJ15 L_Bank_STS R_Amygdala 0.344236948954
SBJ16 L_Bank_STS R_Amygdala 0.308153799115
SBJ17 L_Bank_STS R_Amygdala 0.172312609126
SBJ01 rpSTS_gray9 R_Amygdala -0.151496191034
SBJ02 rpSTS_gray9 R_Amygdala 0.0923579918470001
SBJ03 rpSTS_gray9 R_Amygdala 0.104237365512
SBJ04 rpSTS_gray9 R_Amygdala 0.371764896903
SBJ05 rpSTS_gray9 R_Amygdala 0.23464887446
SBJ06 rpSTS_gray9 R_Amygdala -0.037788529953
SBJ07 rpSTS_gray9 R_Amygdala -0.062737422947
SBJ09 rpSTS_gray9 R_Amygdala 0.11015296836
SBJ10 rpSTS_gray9 R_Amygdala 0.529803758203
SBJ11 rpSTS_gray9 R_Amygdala 0.229681598639
SBJ12 rpSTS_gray9 R_Amygdala 0.210183190489
SBJ13 rpSTS_gray9 R_Amygdala 0.073743072236
SBJ14 rpSTS_gray9 R_Amygdala -0.104670643092
SBJ15 rpSTS_gray9 R_Amygdala 0.378308942438
SBJ16 rpSTS_gray9 R_Amygdala 0.464179587289
SBJ17 rpSTS_gray9 R_Amygdala 0.237085465112
SBJ01 L_Amygdala R_Fusiform 0.037827765223
SBJ02 L_Amygdala R_Fusiform 0.061461179651
SBJ03 L_Amygdala R_Fusiform 0.040376537182
SBJ04 L_Amygdala R_Fusiform 0.119545987558
SBJ05 L_Amygdala R_Fusiform 0.149968389783
SBJ06 L_Amygdala R_Fusiform -0.187210807143
SBJ07 L_Amygdala R_Fusiform 0.044543735992
SBJ09 L_Amygdala R_Fusiform 0.031862013818
SBJ10 L_Amygdala R_Fusiform 0.243361172323
SBJ11 L_Amygdala R_Fusiform 0.190090492305
SBJ12 L_Amygdala R_Fusiform -0.033443643327
SBJ13 L_Amygdala R_Fusiform 0.334643673849
SBJ14 L_Amygdala R_Fusiform -0.051047163654
SBJ15 L_Amygdala R_Fusiform 0.083689907107
SBJ16 L_Amygdala R_Fusiform -0.084988274151
